Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,DOI_clean,Stratum
Sangamithra B.; Swamy B.E.M.; Kumar M.S.,"Sangamithra, B. (57202108416); Swamy, B. E. Manjunath (57952461300); Kumar, M. Sunil (56043515200)",57202108416; 57952461300; 56043515200,Evaluating the effectiveness of RNN and its variants for personalized web search,2023,Optical and Quantum Electronics,55,13,1202,,,20,10.1007/s11082-023-05510-4,https://www.scopus.com/pages/publications/85174235081?origin=resultslist,"Department of CSE, Don Bosco Institutue of Technology, Bengaluru, India; Department of CSE, Mohan Babu University (Erstwhile Sree Vidyanikethan Engineering College(Autonomous)), Andhra Pradesh, Tirupati, India","Sangamithra B., Department of CSE, Don Bosco Institutue of Technology, Bengaluru, India; Swamy B.E.M., Department of CSE, Don Bosco Institutue of Technology, Bengaluru, India; Kumar M.S., Department of CSE, Mohan Babu University (Erstwhile Sree Vidyanikethan Engineering College(Autonomous)), Andhra Pradesh, Tirupati, India","Every client makes full use of web service technology as a data source. Because of the ever-increasing data on the web, search engines can now retrieve information based on user criteria. Users have grown to rely on the Web to satisfy their information demands, however current search engines provide a vast list of results despite using complex document search techniques, some of which were not necessarily suited to the requirements of the client. Customers typically have a very specific goal in mind when doing a search for information; hence, personalized exploration will yield results that are very relevant to the user's intended use. Organizations frequently employ query-based investigate to aid clients in navigating their websites and locating the goods and services they need. We investigate the most effective methods for ranking the results that a query yields. The proposed ranking system takes into account a user's previous queries and actions. This is how we're taking on the Yandex Customized Search Challenge on the web. Our primary goal in this work is to incorporate existing machine learning classifier into our web search mechanism and determine which classifier works best for our model. Accuracy, Precision, Recall, F-measure, and Computational Time are only few of the metrics that have been applied to current algorithms to inform the development of the new algorithm. The results shows that SVM algorithm performs well when compared to the remaining algorithms and it is used with yandex dataset for personalized web search. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",K-Nearest Neighbor classifier; Naive Baye’s classifier; RNN; SVM; Web Search,Information retrieval; Nearest neighbor search; Search engines; Support vector machines; Web services; 'current; Data-source; K-nearest neighbors classifiers; Naive bayes; Naive baye’s classifier; Personalized web searches; RNN; SVM; Web searches; Web Services technologies; Websites,"B. Sangamithra; Department of CSE, Don Bosco Institutue of Technology, Bengaluru, India; email: mithra197@gmail.com",,Springer,03068919,,OQELD,,English,Opt Quantum Electron,Retracted,Final,,Scopus,2-s2.0-85174235081,10.1007/s11082-023-05510-4,S3_Diverse
Priya Varshini A.G.; Anitha Kumari K.,"Priya Varshini, A.G. (57222172733); Anitha Kumari, K. (49361105600)",57222172733; 49361105600,RETRACTION:Software effort estimation using stacked ensembled techniques and proposed stacking ensemble using principal component regression as super learner,2023,Journal of Intelligent and Fuzzy Systems,45,6,,9697.0,9713.0,0,10.3233/JIFS-230676,https://www.scopus.com/pages/publications/85179551521?origin=resultslist,"It Department, Dr. Mahalingam College of Engineering and Technology, Pollachi, India; It Department, Psg College of Technology, Coimbatore, India","Priya Varshini A.G., It Department, Dr. Mahalingam College of Engineering and Technology, Pollachi, India; Anitha Kumari K., It Department, Psg College of Technology, Coimbatore, India","As the size and complexity of projects grows, estimates are increasingly used, especially in the agile community. Software development cannot begin without first conducting thorough planning and estimation. Estimating how much work a project will take is a common first step in the software development life cycle. By employing ensemble techniques, we integrate multiple learning algorithms to build a more accurate predictive model. The core elements of our proposed stacked ensemble strategy include Decision Tree, Principal Components Regression, Random Forest, NeuralNet, GLMNET, XGBoost, Earth, and Support Vector Machine. Moreover, we augment the model's performance by incorporating a blend of these foundational algorithms with other ensemble regression methods. Extensive testing in the suggested research work with a number of Super Learners demonstrates that Regression is the best technique for judging effort. The evaluation of the different estimators involved the use of various metrics, including Mean Absolute Error, Root Mean Squared Error, Mean Squared Error, Percentage of Close Approximations within 25% of the True Values (PRED (25)), R-Squared Coefficients, Precision, Recall, and F1-Score. The proposed method yields more trustworthy predicted performance than either single-model approaches or stacked ensembles. Effort estimation serves as the foundation for the rest of the project management process.  © 2023 - IOS Press. All rights reserved.",principal components regression; Software effort estimations; stacked ensemble method; super learner,Errors; Learning algorithms; Learning systems; Life cycle; Machine components; Mean square error; Project management; Regression analysis; Software design; Support vector machines; Ensemble methods; Ensemble techniques; Multiple learning algorithms; Principal component regression; Principal Components; Software development life-cycle; Software effort estimation; Stacked ensemble method; Stackings; Super learner; Decision trees,"A.G. Priya Varshini; It Department, Dr. Mahalingam College of Engineering and Technology, Pollachi, India; email: priyavarshiniag76789@gmail.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85179551521,10.3233/jifs-230676,S1_JIFS
Tan R.; Chen C.; Zhang W.; Yang L.; Ma H.,"Tan, Ruipu (26768240000); Chen, Chong (58759488000); Zhang, Wende (16426679800); Yang, Lehua (35110023200); Ma, Hangfei (58759526400)",26768240000; 58759488000; 16426679800; 35110023200; 58759526400,RETRACTION:Intelligent acquisition of single-valued neutrosophic numbers based on emotional tendency analysis and its application in emergency decision making,2023,Journal of Intelligent and Fuzzy Systems,45,6,,11247.0,11268.0,1,10.3233/JIFS-231039,https://www.scopus.com/pages/publications/85179552732?origin=resultslist,"Fuzhou University Library, Fuzhou University, Fuzhou, China; College of Electronics and Information Science, Fujian Jiangxia University, Fuzhou, China; Institute of Data Analysis and Intelligent Decision Making, Fujian Jiangxia University, Fuzhou, China","Tan R., Fuzhou University Library, Fuzhou University, Fuzhou, China, College of Electronics and Information Science, Fujian Jiangxia University, Fuzhou, China, Institute of Data Analysis and Intelligent Decision Making, Fujian Jiangxia University, Fuzhou, China; Chen C., Fuzhou University Library, Fuzhou University, Fuzhou, China; Zhang W., Fuzhou University Library, Fuzhou University, Fuzhou, China; Yang L., College of Electronics and Information Science, Fujian Jiangxia University, Fuzhou, China, Institute of Data Analysis and Intelligent Decision Making, Fujian Jiangxia University, Fuzhou, China; Ma H., College of Electronics and Information Science, Fujian Jiangxia University, Fuzhou, China, Institute of Data Analysis and Intelligent Decision Making, Fujian Jiangxia University, Fuzhou, China","With the rising incidences of emergencies, it is both challenging and meaningful to study how to make decisions quickly and take appropriate measures to control the spread and evolution of the situation. However, most current emergency decision-making focuses on mathematical model construction, whereas fuzzy decision-making is biased towards subjective assumptions, which are both insufficient for practicability. We studied the intelligent acquisition of single-valued neutrosophic numbers based on emotional tendency analysis and applied them to emergency decision-making. First, Python programming technology was used to crawl, preprocess, and statistically analyse the network comment data of emergencies, and a quantised single-value neutrosophic number was obtained. Second, the attribute values, represented as neutrosophic numbers, were uniformly converted into cloud droplets, and the weight of the attribute values was objectively determined according to the digital feature entropy in the cloud droplets. Subsequently, a case-based reasoning approach was used to calculate the combined weighted similarity between the alternatives and ideal solution (target case) to obtain a ranking of the alternatives and historical cases in the case base that best matches the target case. Finally, a typhoon disaster assessment was considered as an example to verify the feasibility and effectiveness of the proposed method, and the advantages of the proposed method were emphasised through multi-aspect and multi-angle comparative analyses. The relevant research can be used for public opinion monitoring during emergencies and emergency handling.  © 2023 - IOS Press. All rights reserved.",case-based reasoning (CBR); cloud model; Emergency decision-making; emotional tendency analysis; intelligent acquisition of single-valued neutrosophic numbers,Decision making; Drops; Social aspects; Attribute values; Case-based reasoning; Casebased reasonings (CBR); Cloud droplets; Cloud modeling; Emergency decision makings; Emotional tendency analyse; Intelligent acquisition of single-valued neutrosophic number; ITS applications; Tendency analysis; Case based reasoning,"R. Tan; Fuzhou University Library, Fuzhou University, Fuzhou, China; email: tanruipu123@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85179552732,10.3233/jifs-231039,S1_JIFS
Yue L.; Wang Q.,"Yue, Lizhu (36864789900); Wang, Qian (59135796100)",36864789900; 59135796100,RETRACTION:Personalized multi-Attribute recommendation method based on partial order set,2024,Journal of Intelligent and Fuzzy Systems,46,4,,8741.0,8754.0,2,10.3233/JIFS-231724,https://www.scopus.com/pages/publications/85193699445?origin=resultslist,"Department of Business Administration, Liaoning Technical University, Huludao, China","Yue L., Department of Business Administration, Liaoning Technical University, Huludao, China; Wang Q., Department of Business Administration, Liaoning Technical University, Huludao, China","With the rapid development of big data and continuous optimization of online shopping platforms, personalized recommendation has become a standard feature of recommendation methods. In order to effectively provide personalized recommendations to customers, improve recommendation accuracy, and customer satisfaction, it is necessary to consider customers' preferences for multiple product attributes when making product recommendations. However, existing recommendation methods require precise calculation of product attribute weights, which is computationally expensive, complex, and often results in unstable weight values. This paper proposes a multi-Attribute recommendation method based on consumer decision preference information that overcomes the need for weights and reflects personalized customer preferences. Based on the acquisition of customer product attribute preference sequences, a partial order relation for recommended products is constructed using partial order set theory. Finally, the recommended products are determined through the partial order Hasse diagram, where the top layer elements of the Hasse diagram represent the recommended product set. This method addresses challenges that traditional content-based recommendations cannot overcome. The experiment in this paper uses a dataset of 30,000 records from Beeradvocate beer reviews. The experimental results show that, compared to traditional multi-Attribute recommendation methods, this method only requires decision-maker preference information to complete product recommendations, requiring less information and having lower computational costs, resulting in more robust results.  © 2024-IOS Press. All rights reserved.",decision preference; hasse diagram; Multi-Attribute recommendation; partial order set; personalization,Beer; Computation theory; Decision making; Optimization; Sales; Decision preference; Hasse diagrams; Multi-attribute recommendation; Multi-attributes; Order sets; Partial order; Partial order set; Personalizations; Product attributes; Recommendation methods; Customer satisfaction,"Q. Wang; Department of Business Administration, Liaoning Technical University, Huludao, China; email: 1477076863@qq.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85193699445,10.3233/jifs-231724,S1_JIFS
Suganya S.; Selvamuthukumaran S.,"Suganya, S. (57212884585); Selvamuthukumaran, S. (55532064500)",57212884585; 55532064500,RETRACTION:Auditing of hadoop log file for dynamic detection of threats using H-ISSM-MIM and convolutional neural network,2023,Journal of Intelligent and Fuzzy Systems,45,4,,6617.0,6628.0,0,10.3233/JIFS-233579,https://www.scopus.com/pages/publications/85174013713?origin=resultslist,"Department of CSE, SASTRA Deemed University, Tamilnadu, Kumbakonam, India; Department of Computer Applications, A.V.C. College of Engineering, Tamilnadu, Mayiladuthurai, India","Suganya S., Department of CSE, SASTRA Deemed University, Tamilnadu, Kumbakonam, India; Selvamuthukumaran S., Department of Computer Applications, A.V.C. College of Engineering, Tamilnadu, Mayiladuthurai, India","Hadoop is a big data processing system that enables the distributed processing of massive data sets across multiple computers using straightforward programming techniques. Hadoop has been extensively investigated in many attacks as a result of its growing significance in industry. A company may learn about the actions of invaders as well as the weaknesses of the Hadoop cluster by examining a significant quantity of data from the log file. In a Big Data setting, the goal of the paper is to generate an analytical classification for intrusion detection. In this study, Hadoop log files were examined based on assaults that were recorded in the log files. Prior to analysis, the log data is cleaned and improved using a Hadoop preprocessing tool. For feature extraction, the hybrid Improved Sparrow Search Algorithm with Mutual Information Maximization (H-ISSA-MIM). Then the CNN (Convolutional Neural Network) classifier will detect the intrusions. The implementation is performed using the MATLAB 2020a software. The performance metrics like accuracy, precision, F-score, recall, specificity, FPR, FNR are calculated for the proposed methodology and it is compared with the existing techniques like Decision Tree (DT), Principal Components Analysis (PCA)- K means, Long Short Time Memory (LSTM). The maximum value of accuracy finds out in the proposed method 98%.  © 2023 - IOS Press. All rights reserved.",big data environment and feature extraction; convolutional neural networks; Hadoop attacks; intrusion detection; log file,Big data; Computer programming; Convolution; Convolutional neural networks; Data mining; Decision trees; Extraction; Intrusion detection; K-means clustering; Long short-term memory; MATLAB; Principal component analysis; Big data environment and feature extraction; Convolutional neural network; Data environment; Data feature; Data-processing system; Dynamic detection; Features extraction; Hadoop attack; Intrusion-Detection; Logfile; Feature extraction,"S. Suganya; Department of CSE, SASTRA Deemed University, Kumbakonam, Tamilnadu, India; email: suganyaavcp@gmail.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85174013713,10.3233/jifs-233579,S1_JIFS
Kiran A.; Rao T.S.; Gopatoti A.; Deshmukh R.; Ramesh J.V.N.; Krishnamoorthy R.,"Kiran, Ajmeera (57203283005); Rao, Tdnss. Sarveswara (58853241600); Gopatoti, Anandbabu (57201589378); Deshmukh, Ram (57220531422); Ramesh, Janjhyam Venkata Naga (59253432200); Krishnamoorthy, R. (57222176870)",57203283005; 58853241600; 57201589378; 57220531422; 59253432200; 57222176870,Harnessing quantum power using hybrid quantum deep neural network for advanced image taxonomy,2024,Optical and Quantum Electronics,56,4,574,,,21,10.1007/s11082-023-06202-9,https://www.scopus.com/pages/publications/85183588660?origin=resultslist,"Department of Computer Science and Engineering, MLR Institute of Technology, Hyderabad, Dundigal, India; Department of ECE, Sri Vasavi Engineering College, Tadepalligudem, India; Department of Electronics and Communication Engineering, Hindusthan College of Engineering and Technology, Coimbatore, India; School of Engineering, SR University, Telangana, Warangal, India; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Guntur, India; Centre for Advanced Wireless Integrated Technology, Chennai Institute of Technology, Chennai, India","Kiran A., Department of Computer Science and Engineering, MLR Institute of Technology, Hyderabad, Dundigal, India; Rao T.S., Department of ECE, Sri Vasavi Engineering College, Tadepalligudem, India; Gopatoti A., Department of Electronics and Communication Engineering, Hindusthan College of Engineering and Technology, Coimbatore, India; Deshmukh R., School of Engineering, SR University, Telangana, Warangal, India; Ramesh J.V.N., Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Guntur, India; Krishnamoorthy R., Centre for Advanced Wireless Integrated Technology, Chennai Institute of Technology, Chennai, India","This paper introduces the Hybrid Quantum Deep Neural Network (HQDNN), a pioneering model that amalgamates classical Convolutional Neural Network (CNN) architecture with Parameterized Quantum Circuits (PmQC) for image classification tasks. The background elucidates the intricacies of CNN and PmQC operations, emphasizing their respective components and functions. HQDNN comprises quantum convolutional and pooling layers alongside a classical fully connected layer, demonstrating its effectiveness through simulations on the MNIST dataset. Results reveal HQDNN’s superior learning ability and classification performance compared to traditional CNN, particularly with the inclusion of a pooling layer. This work contributes to the evolution of quantum machine learning, opening avenues for the practical integration of quantum computing in image classification workflows. Future research may explore scalability and diverse applications of HQDNN, marking a promising convergence of quantum computing and deep learning methodologies. © 2024, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Deep learning; Hybrid quantum deep neural network; Image taxonomy; Quantum computing,Convolution; Convolutional neural networks; Image classification; Learning systems; Quantum computers; Quantum optics; Taxonomies; Convolutional neural network; Deep learning; Hybrid quantum deep neural network; Image taxonomy; Images classification; Neural network architecture; Parameterized; Power; Quantum circuit; Quantum Computing; Deep neural networks,"J.V.N. Ramesh; Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Guntur, India; email: jvnramesh@gmail.com; R. Krishnamoorthy; Centre for Advanced Wireless Integrated Technology, Chennai Institute of Technology, Chennai, India; email: krishnamoorthyr@citchennai.net",,Springer,03068919,,OQELD,,English,Opt Quantum Electron,Retracted,Final,,Scopus,2-s2.0-85183588660,10.1007/s11082-023-06202-9,S3_Diverse
Ihtisham S.; Mustafa G.; Qureshi M.N.; Manzoor S.; Alamgir; Khan A.,"Ihtisham, Shumaila (57209283565); Mustafa, Ghulam (58233421600); Qureshi, Muhammad Nauman (60517404800); Manzoor, Sadaf (56723701400); Alamgir (55308381900); Khan, Adnan (57938022400)",57209283565; 58233421600; 60517404800; 56723701400; 55308381900; 57938022400,RETRACTED: Distribution of moments of order statistics from alpha power pareto distribution,2025,Journal of Intelligent and Fuzzy Systems,49,1,,442.0,451.0,0,10.3233/JIFS-231873,https://www.scopus.com/pages/publications/105033158022?origin=resultslist,"Department of Statistics, Islamia College, Peshawar, Pakistan; School of Statistics, University of Minnesota, Twin Cities, United States; Department of Statistics, University of Peshawar, Pakistan","Ihtisham S., Department of Statistics, Islamia College, Peshawar, Pakistan; Mustafa G., Department of Statistics, Islamia College, Peshawar, Pakistan; Qureshi M.N., School of Statistics, University of Minnesota, Twin Cities, United States; Manzoor S., Department of Statistics, Islamia College, Peshawar, Pakistan; Alamgir, Department of Statistics, University of Peshawar, Pakistan; Khan A., Department of Statistics, Islamia College, Peshawar, Pakistan","Following an investigation in line with the guidance issued by COPE, the publisher has detected one or more of the following indicators in submissions and in the peer review process underlying the acceptance of articles: Patterns of citation manipulation, including citations irrelevant to the research article Incoherent, extraneous text and Tortured phrases [1] Potential unauthorized third-party involvement in the submission process Evidence to suggest collusion between authors and reviewers that was not detected prior to publication Citations to research articles now retracted due to indicators of third-party involvement and manipulated peer review [2] These indicators raise concerns about the authenticity of the research and the peer review process underlying the following articles. The Publisher regrets that these were not flagged during the journal's editorial and peer review processes and acknowledges the anonymous volunteers on PubPeer and PPS ""Feet of Clay"" [2] whose observations complemented our internal investigation. References 1. Cabanac G., Labbé C. and Magazinov A., Tortured phrases: A dubious writing style emerging in science. Evidence of critical issues affecting established journals, ArXiv, abs/2107.06751 (2021). 2. Cabanac G., Chain retraction: how to stop bad science propagating through the literature [Comment], Nature 632(8027) (2024), 977-979. https://doi.org/10.1038/d41586-024-02747-1 © The Author(s) 2025",,Government data processing; Network security; Reviews; Text processing; Chain retraction; Critical issues; Order-statistics; Pareto distributions; Peer review; Peer-review process; Power; Third parties; Writing style; Pareto principle,"S. Ihtisham; Department of Statistics, Islamia College, Peshawar, Pakistan; email: shumaila.ehtisham@icp.edu.pk",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105033158022,10.3233/jifs-231873,S1_JIFS
Wu X.,"Wu, Xiaogang (57849292900)",57849292900,RETRACTION:Similarity measure between generalized intuitionistic fuzzy sets with three kinds of negation,2024,Journal of Intelligent and Fuzzy Systems,46,4,236510,9381.0,9391.0,0,10.3233/JIFS-236510,https://www.scopus.com/pages/publications/85193759831?origin=resultslist,"Department of Information Technology, Minzu Normal University of Xingyi, Guizhou, Xingyi, China; Department of Vincent Mary School of Science & Technology, Assumption University, Bangkok, Thailand","Wu X., Department of Information Technology, Minzu Normal University of Xingyi, Guizhou, Xingyi, China, Department of Vincent Mary School of Science & Technology, Assumption University, Bangkok, Thailand","The similarity measure of intuitionistic fuzzy sets is a primary method for dealing with uncertainty and fuzzy problems and is commonly used in fuzzy decision-making and pattern recognition. The current mainstream similarity measure is based on the classical fuzzy set with only one negation, which often violates the intuitionistic problem in applications because the actual semantics of multiple negations are not considered. To solve the inconsistency and irrationality problems in the classical similarity methods, we introduce three negations (contradiction negation, opposition negation, and mediation negation) in the intuitionistic fuzzy set to obtain the generalized intuitionistic fuzzy set and prove its related property theorem. On this basis, our similarity measure adopts a mediational negation to represent non-membership, which fully utilizes the multiple negation information of non-membership and hesitancy and avoids the loss of fuzzy information. We verify the method’s rationality, validity, and originality through pattern recognition experiments and numerical examples, which improves the performance of intuitionistic fuzzy set similarity in practical applications and provides a new approach for future research on intuitionistic fuzzy inference. © 2024 – IOS Press. All rights reserved.",fuzzy decision; Generalized intuitionistic fuzzy sets (GIFS); similarity measure; three kinds of negation,Behavioral research; Decision making; Fuzzy inference; Fuzzy sets; Numerical methods; Pattern recognition; 'current; Fuzzy decision; Fuzzy Decision making; Fuzzy information; Generalized intuitionistic fuzzy set; Intuitionistic fuzzy sets; Property; Similarity measure; Three kind of negation; Uncertainty; Semantics,"X. Wu; Department of Information Technology, Minzu Normal University of Xingyi, Xingyi, Guizhou, 562400, China; email: wxg817@163.com",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85193759831,10.3233/jifs-236510,S1_JIFS
Jin F.; Li D.; Guo S.; Zhou L.; Chen Y.; Zhu J.,"Jin, Feifei (56100591300); Li, Danning (58516104800); Guo, Shuyan (58042399200); Zhou, Ligang (55710686700); Chen, Yi (58516389300); Zhu, Jiaming (57191675622)",56100591300; 58516104800; 58042399200; 55710686700; 58516389300; 57191675622,RETRACTION:Exponential information measures-driven Pythagorean fuzzy MADM method and its application to new energy battery supplier evaluation problem,2023,Journal of Intelligent and Fuzzy Systems,44,6,,9167.0,9182.0,4,10.3233/JIFS-223088,https://www.scopus.com/pages/publications/85166390440?origin=resultslist,"School of Business, Anhui University, Anhui, Hefei, China; Anhui University Center for Applied Mathematics, Anhui University, Hefei, China; School of Mathematical Sciences, Anhui University, Hefei, China; School of Internet, Anhui University, Anhui, Hefei, China","Jin F., School of Business, Anhui University, Anhui, Hefei, China, Anhui University Center for Applied Mathematics, Anhui University, Hefei, China; Li D., School of Business, Anhui University, Anhui, Hefei, China; Guo S., School of Business, Anhui University, Anhui, Hefei, China; Zhou L., Anhui University Center for Applied Mathematics, Anhui University, Hefei, China, School of Mathematical Sciences, Anhui University, Hefei, China; Chen Y., School of Business, Anhui University, Anhui, Hefei, China; Zhu J., School of Internet, Anhui University, Anhui, Hefei, China","Under the Pythagorean fuzzy environment, this paper presents a multi-attribute decision-making (MADM) model based on exponential entropy measure and exponential similarity measure to evaluate new energy battery supplier's performance. In this method, the notion of Pythagorean fuzzy linguistic sets (PFLSs) is first introduced by combining the linguistic fuzzy sets (LFSs) and the Pythagorean fuzzy sets (PFSs). Then, the axiomatic definitions of Pythagorean fuzzy entropy and Pythagorean fuzzy similarity measure are developed to measure the degree of uncertainty and similarity between two Pythagorean fuzzy linguistic values (PFLVs). The PFLVs can be expressed by the linguistic membership degree (LMD) and linguistic non-membership degree (LNMD). In addition, we construct two new information measure formulas based on exponential function. Through a series of proofs, we verify that they satisfy the axiomatic conditions of entropy and similarity measure of Pythagorean fuzzy language respectively. On this basis, we research the relationship between the two information measures. Finally, we present a novel Pythagorean fuzzy linguistic MADM model. An example for evaluating performance of new energy battery supplier is given to explain the effectiveness of the newly-developed approach. The stability and validity of the newly-developed approach is performed by sensitivity analysis and comparative analysis.  © 2023 - IOS Press. All rights reserved.",information entropy; new energy battery supplier evaluation; Pythagorean fuzzy linguistic sets; similarity measure,Decision making; Electric batteries; Exponential functions; Fuzzy sets; Sensitivity analysis; Battery suppliers; Exponentials; Fuzzy linguistics; Information entropy; Information measures; New energies; New energy battery supplier evaluation; Pythagorean fuzzy linguistic set; Similarity measure; Supplier Evaluations; Linguistics,"J. Zhu; School of Internet, Anhui University, Hefei, Anhui, 230601, China; email: jiamingzhu@ahu.edu.cn",,IOS Press BV,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-85166390440,10.3233/jifs-223088,S1_JIFS
Senthamil Selvi M.; Senthamizh Selvi R.; Subbaiyan S.; Murshitha Shajahan M.S.,"Senthamil Selvi, M. (57191596002); Senthamizh Selvi, R. (56441567400); Subbaiyan, Saranya (57215037213); Murshitha Shajahan, M.S. (60517715400)",57191596002; 56441567400; 57215037213; 60517715400,"RETRACTED: Revolutionizing power grid loss prediction with advanced hybrid time series deep learning model(Journal of Intelligent & Fuzzy Systems, (2025), 48, (277-286))",2025,Journal of Intelligent and Fuzzy Systems,48,1_suppl,,277.0,286.0,0,10.3233/JIFS-235579,https://www.scopus.com/pages/publications/105008185821?origin=resultslist,"Department of Information Technology, Sri Ramakrishna Engineering College, Tamil Nadu, Coimbatore, India; Department of Electronics and Communication Engineering, Easwari Engineering College, Ramapuram, Tamil Nadu, Chennai, India; Department of Mathematics, BMS Institute of Technology & Management, Karnataka, Bengaluru, India; Department of Electronics and Instrumentation Engineering, B.S. AbdurRahman Crescent Institute of Science and Technology, Tamil Nadu, Chennai, India","Senthamil Selvi M., Department of Information Technology, Sri Ramakrishna Engineering College, Tamil Nadu, Coimbatore, India; Senthamizh Selvi R., Department of Electronics and Communication Engineering, Easwari Engineering College, Ramapuram, Tamil Nadu, Chennai, India; Subbaiyan S., Department of Mathematics, BMS Institute of Technology & Management, Karnataka, Bengaluru, India; Murshitha Shajahan M.S., Department of Electronics and Instrumentation Engineering, B.S. AbdurRahman Crescent Institute of Science and Technology, Tamil Nadu, Chennai, India",This article has been retracted. A retraction notice can be found at https://doi.org/10.3233/JIFS-219434. © 2025 – IOS Press. All rights reserved.,,,"M. Senthamil Selvi; Department of Information Technology, Sri Ramakrishna Engineering College, Coimbatore, Tamil Nadu, India; email: senthamilselvim9764@gmail.com",,SAGE Publications Ltd,10641246,,,,English,J. Intelligent Fuzzy Syst.,Retracted,Final,,Scopus,2-s2.0-105008185821,10.3233/jifs-235579,S1_JIFS
